GENE       CHR      START       STOP  NSNPS  NPARAM    N        ZSTAT            P
55966        1    4705105    4853851    969     123  556      0.49543      0.31015
261734       1    5912870    6062618    593      31  556     -0.47018      0.68089
8514         1    6042358    6171253    473      74  556      -0.6229      0.73332
26038        1    6151847    6250194    393      46  556      -1.5475      0.93913
6146         1    6235080    6269679     95      17  556     -0.49757      0.69061
388591       1    6256189    6291359    114      20  556      0.68546      0.24653
23463        1    6271253    6306044    100      16  556      0.47147      0.31865
390992       1    6294252    6315638     54      11  556     -0.12366      0.54921
387509       1    6297406    6331035    104      14  556      -0.3033      0.61917
11332        1    6314332    6463826    652      37  556       1.2023      0.11463
54626        1    6465292    6494724    124      15  556      0.56831      0.28491
83715        1    6474836    6531004    199      24  556       0.1562      0.43794
8718         1    6510787    6537432     82      18  556     -0.49087      0.68824
57449        1    6516152    6590121    286      43  556     -0.64442      0.74035
79707        1    6571407    6624658    263      13  556     -0.67504      0.75018
80835        1    6604987    6649817    171      23  556     -0.57076      0.71592
3104         1    6630051    6659340     94      35  556      0.49004      0.31205
9903         1    6640784    6672958     88      27  556     -0.15824      0.56287
148479       1    6663756    6694093     88      22  556     -0.78972      0.78515
90326        1    6674925    6705646    114      27  556      -0.4626      0.67817
55735        1    6684228    6771966    279      30  556     -0.64421      0.74028
23261        1    6835384    7839766   3973     296  556       1.1844      0.11813
9341         1    7821329    7851492    110      26  556     -0.87393      0.80892
8863         1    7834413    7915241    375      37  556      -0.3067      0.62046
10911        1    7897672    7923551    149      36  556     -0.30662      0.62043
3604         1    7965931    8013225    144      25  556     -0.60794      0.72839
11315        1    8011714    8055342    138      27  556       -1.662      0.95175
54206        1    8061779    8096393     90      20  556      -1.3735       0.9152
50651        1    8368171    8414227    177      32  556       1.3696     0.085404
473          1    8402464    8887699   1091      44  556       2.9135    0.0017873
2023         1    8911059    8949151    116      23  556       2.0532     0.020024
765          1    8995893    9045151    251      64  556      -1.9639      0.97523
155184       1    9053359    9096404    207      49  556       2.0334     0.021007
6518         1    9087005    9141763    271      30  556       2.0673     0.019355
80045        1    9153472    9199229    202      38  556       2.1534     0.015643
9563         1    9284822    9341396    267      37  556     -0.13727      0.55459
80176        1    9325202    9439591    696     108  556       1.8934     0.029151
84275        1    9589528    9652831    174      28  556      0.74862      0.22704
199953       1    9638932    9684935    103      19  556      0.26109      0.39701
5293         1    9701789    9799172    317      51  556       2.0158      0.02191
22883        1    9779079    9894550    444      23  556       1.2076      0.11359
56998        1    9898334    9980316    239      40  556      0.23844      0.40577
84328        1    9972168   10013460    129      26  556     -0.95685      0.83068
64802        1    9993486   10055556    167      29  556     -0.80338      0.78912
116362       1   10047255   10086078    109      17  556      -1.3443      0.91057
10277        1   10083041   10251297    574      38  556     -0.47794      0.68365
23095        1   10260606   10451664    800      26  556       -1.234      0.89141
5226         1   10448884   10490565    164      27  556     -0.78199      0.78289
378708       1   10479944   10520239    153      20  556    -0.016183      0.50646
100526739    1   10480159   10522060    159      22  556     0.020791      0.49171
1325         1   10499776   10522060     62      16  556     -0.19529      0.57742
1676         1   10510588   10542613     90      22  556      -0.8718      0.80834
5195         1   10525003   10700815    567      49  556     -0.78668      0.78426
54897        1   10686661   10866733    546      91  556     -0.11079      0.54411
148345       1   10996530   11052094    226      27  556     -0.29781      0.61708
23435        1   11062462   11095549    108      15  556     -0.92611      0.82281
10747        1   11076580   11117296    114      15  556      -1.0954      0.86332
6723         1   11104649   11130091     84       9  556      -1.1951      0.88397
5394         1   11116675   11169961    189      11  556     -0.78488      0.78374
2475         1   11156588   11332614    444      14  556     -0.76282      0.77722
10218        1   11239346   11266038     49       4  556     -0.44173      0.67066
29914        1   11323255   11358491     61       9  556     -0.89782      0.81536
57540        1   11529295   11607640    253      22  556       1.6908     0.045438
26232        1   11697924   11724888     84      27  556       1.3676     0.085724
93611        1   11704432   11733384     98      26  556       1.1934      0.11636
26270        1   11714150   11744411    112      22  556       1.3992     0.080871
10459        1   11724537   11761678    137      28  556      0.84551      0.19891
374946       1   11741781   11790336    155      32  556      -0.4899       0.6879
57085        1   11786142   11820828     90      15  556     -0.77296      0.78023
284498       1   11813827   11859642    230      21  556      0.28835      0.38654
4524         1   11835787   11876160    252      14  556     -0.16261      0.56459
1185         1   11856153   11913201    357      26  556     -0.90325       0.8168
4878         1   11895766   11917840    125      22  556     -0.88033      0.81066
4879         1   11907521   11928992    103      23  556       -1.853      0.96806
90231        1   11969645   11996485    136      25  556     -0.56538      0.71409
5351         1   11984724   12045599    208      27  556     -0.99133      0.83924
9927         1   12030238   12083572    185      24  556      -1.0388      0.85055
60672        1   12069299   12102106     87      19  556     -0.42846      0.66584
943          1   12113434   12214264    297      55  556       1.3234     0.092855
7133         1   12217044   12279279    240      38  556      0.14233      0.44341
55187        1   12280101   12582099    826      36  556     -0.46909       0.6805
9249         1   12617939   12687820    337      55  556     -0.32982      0.62923
343066       1   12694566   12737097    139      16  556      -1.0258       0.8475
126767       1   12766118   12798726    136      20  556      0.60371      0.27302
93190        1   12796163   12831102    165      18  556    -0.090717      0.53614
390999       1   12824984   12848049     83      17  556     -0.67368      0.74974
65121        1   12841546   12866777    217      34  556      -0.1855      0.57358
440560       1   12874468   12901264    171      21  556     -0.15302      0.56081
343069       1   12897261   12918578    144       6  556      -1.4863      0.93141
65122        1   12906941   12931764    113       6  556      -1.0732      0.85841
400735       1   12929033   12956025     23       4  556      0.50839      0.30559
343071       1   12942727   12968094     15       3  556      0.49985      0.30859
441871       1   12966467   12990300      1       1  556      -1.6478       0.9503
653606       1   13025543   13048381      2       1  556     -0.10297      0.54101
440563       1   13172960   13194326     37       4  556     -0.57233      0.71645
391002       1   13376646   13400765      1       1  556      0.30496       0.3802
126755       1   13791445   13850242    315      56  556    -0.019971      0.50797
10630        1   13900252   13954452    247      55  556     -0.59233      0.72318
7799         1   14016714   14161574    542      45  556      0.93233      0.17558
23254        1   14209646   15454544   5965     413  556       1.2484      0.10594
55092        1   15469028   15556974    549      40  556     -0.83578      0.79836
727684       1   15480692   15508120    142      24  556    -0.068553      0.52733
114827       1   15563730   15734767    721      83  556      0.26008       0.3974
79180        1   15726391   15766839    155      42  556      0.27168      0.39293
11330        1   15754938   15783153     82      21  556       0.1086      0.45676
63036        1   15773223   15808586    141      29  556     -0.79727      0.78735
51032        1   15792596   15827895    142      21  556     -0.61122      0.72947
842          1   15807896   15861407    228      17  556     -0.82652      0.79574
23341        1   15843343   15908228    222      20  556     -0.67609      0.75051
79814        1   15888194   15921605    182      16  556     -0.81934       0.7937
84301        1   15933953   16005539    208      14  556     -0.62199      0.73303
6248         1   15976364   15998217     51       6  556     -0.49908      0.69114
23207        1   16000632   16071264    263      25  556     -0.76787      0.77872
284723       1   16052721   16077884     84      20  556    -0.094615      0.53769
388595       1   16058987   16084292     97      22  556     -0.20686      0.58194
54751        1   16073107   16123089    212      38  556      0.31278      0.37722
440567       1   16123657   16144194    123      14  556      0.30097      0.38172
23013        1   16164359   16276951    321      34  556    -0.084183      0.53354
7709         1   16258364   16312627    145      31  556      0.37182      0.35501
101928566    1   16292626   16333701    223      31  556      0.80433       0.2106
149563       1   16320731   16343184    162      22  556       1.7078     0.043839
27129        1   16330523   16356084    167      22  556       2.0609     0.019657
1187         1   16338486   16370548    282      28  556       1.4422     0.074624
1188         1   16360231   16393821    361      38  556       1.0562      0.14545
348487       1   16374264   16410127    263      24  556      0.90174       0.1836
1969         1   16440832   16492582    140      32  556       1.8483     0.032282
128272       1   16514599   16549104    153      14  556      0.49524      0.31022
101927546    1   16541343   16563528     63      10  556      0.41126      0.34044
79363        1   16548182   16573659     62      10  556     -0.23482      0.59282
54455        1   16563339   16688965    334      17  556      0.87095      0.19189
26099        1   16683525   16734643    150      19  556       1.6483     0.049649
374955       1   16712101   16773919    203      39  556        1.204      0.11429
55707        1   16757167   16796585    147      29  556      0.31594      0.37602
100133301    1   16855561   16876198     33       6  556       1.0448      0.14805
55672        1   16878922   16950100     16       4  556       1.5484     0.060764
729574       1   16989498   17010007      6       2  556        1.275      0.10115
729587       1   17050447   17070956      3       2  556       1.1458      0.12594
11223        1   17071129   17100975      2       1  556       1.9847     0.023589
9696         1   17238445   17309474    213      28  556      0.33302      0.36956
4237         1   17290997   17318081     92      18  556      -1.0135       0.8446
23400        1   17302453   17348467    119      18  556     -0.26646      0.60506
6390         1   17335217   17390665    188      19  556      0.72967       0.2328
11240        1   17383256   17455948    332      21  556     -0.47708      0.68335
29943        1   17521621   17582501    291      61  556      -2.4252      0.99235
51702        1   17565593   17620728    284      35  556      -2.0409      0.97937
23569        1   17624690   17700495    563      47  556      0.41226      0.34007
353238       1   17688741   17738195    328      28  556      0.23011        0.409
55920        1   17723251   17776250    222      35  556      0.11725      0.45333
55160        1   17836693   18034370    706      67  556      -1.1267      0.87006
81569        1   18071808   18163558    332      42  556     -0.23381      0.59244
84966        1   18424240   18714977   1289     165  556    -0.087476      0.53485
127707       1   18797424   18822540    150      27  556     -0.88139      0.81095
5081         1   18947500   19085360    454      76  556      -1.0828      0.86055
80834        1   19156093   19196155    239      38  556      0.88611      0.18778
8659         1   19187924   19239293    161      19  556     -0.30103       0.6183
126917       1   19220774   19292826    307      42  556     -0.77925      0.78208
23352        1   19391000   19546812    445      34  556       0.6267      0.26543
23065        1   19532158   19588053    236      33  556      0.30605      0.37978
51154        1   19568075   19596622    164      24  556      0.49361      0.31079
22977        1   19599057   19625280    137      12  556      0.29256      0.38493
8574         1   19619202   19648640    123      31  556      0.62598      0.26566
54896        1   19628740   19668925    208      34  556     -0.18658      0.57401
832          1   19655267   19822066    833      43  556     -0.92535      0.82261
440574       1   19913471   19966315    239      27  556      0.11294      0.45504
100532736    1   19913471   19994949    381      44  556      0.22442      0.41121
4681         1   19959723   19994949    184      43  556      0.47651      0.31686
3362         1   19981780   20016055    151      23  556    -0.074876      0.52984
255104       1   19998706   20136424    569      62  556      -1.5426      0.93853
54546        1   20130522   20151771    117      28  556      0.61538      0.26915
23252        1   20198356   20249438    181      34  556     -0.17204       0.5683
30814        1   20236800   20260110    112      28  556     -0.26658       0.6051
5320         1   20291924   20316932    125      31  556       1.4285     0.076577
5322         1   20376157   20428394    245      42  556       2.0441     0.020473
26279        1   20429143   20456059    106      35  556       1.9929     0.023134
64600        1   20455823   20486879     85      33  556     0.059866      0.47613
391013       1   20480484   20511687     91      22  556     -0.92816      0.82334
127733       1   20502578   20532540     82      17  556      -0.8819      0.81108
127731       1   20607412   20691662    414      47  556      -0.9521      0.82948
55450        1   20798884   20822728     66      22  556     -0.56805        0.715
79594        1   20815941   20844674    110      29  556    -0.088845       0.5354
163933       1   20868932   20891513    123      29  556      0.24541      0.40307
978          1   20905444   20955401    316      31  556       1.7614     0.039087
65018        1   20949948   20988004    196      26  556      0.81758       0.2068
1650         1   20968260   20998037    159      27  556      0.70356      0.24085
57576        1   20980475   21054317    362      67  556      0.38749       0.3492
400745       1   21036225   21069133    138      31  556      0.27486      0.39171
50809        1   21059170   21123808    181      26  556      0.63428      0.26295
8672         1   21122785   21513381   1070      37  556      0.52035      0.30141
1889         1   21533740   21682034    618      66  556     -0.29908      0.61756
84224        1   21756583   21821393    392      32  556      -1.0777      0.85941
249          1   21825475   21914905    516      52  556       1.4115     0.079047
5909         1   21912708   22006010    455      75  556      0.69843      0.24245
84196        1   21994791   22119688    554      51  556      0.43956      0.33013
401944       1   22128758   22161714    153      48  556    -0.064959       0.5259
3339         1   22138737   22273750    583      54  556      0.97334      0.16519
23436        1   22293418   22325847    402      31  556       2.6583    0.0039266
10136        1   22318149   22349035    273      27  556       3.2847   0.00051052
998          1   22369120   22429439    206      32  556       1.0552      0.14568
54361        1   22433798   22480474    207      42  556       1.1058       0.1344
9923         1   22768344   22867650    225      32  556      0.68179      0.24769
2046         1   22880004   22940087    286      37  556      0.71995      0.23578
712          1   22953118   22976175     91      13  556       0.6409      0.26079
714          1   22959969   22984603    116      15  556       1.3827      0.08338
713          1   22969682   22998130    121      19  556         1.94     0.026189
2048         1   23027263   23251823    772     103  556      0.53919      0.29488
646262       1   23269536   23309524    138      23  556      -1.2762      0.89906
729059       1   23327327   23352343     52      12  556     -0.45013      0.67369
23028        1   23335937   23420184    148      19  556      -0.2292      0.59064
7798         1   23400516   23514301    311      29  556      -0.9849      0.83766
3352         1   23508388   23531222    104      11  556     -0.53168      0.70253
10236        1   23625953   23681143    152      24  556      0.59027       0.2775
80818        1   23675941   23706357     84      14  556      0.37017      0.35563
6920         1   23697555   23761269    215      38  556     -0.19279      0.57644
55616        1   23745056   23820750    272      25  556      0.60469      0.27269
1870         1   23822920   23867712    142      27  556     -0.31323      0.62295
3399         1   23874421   23896285     71      24  556      0.12844       0.4489
6135         1   24008269   24032915     91      19  556    -0.089372      0.53561
6924         1   24059856   24098549    102      17  556     -0.49657      0.69025
57095        1   24094876   24124722     45      23  556        2.147     0.015897
11313        1   24107275   24132029     35      19  556       2.4168    0.0078295
2582         1   24112089   24137294     35      12  556       2.8946    0.0018982
3155         1   24118367   24175110    118      18  556       2.7023    0.0034428
2517         1   24161567   24204859    179      14  556       2.7513    0.0029676
1269         1   24187005   24295549    347      22  556        2.522    0.0058348
55629        1   24276301   24299952     14       5  556      0.44483      0.32822
10772        1   24282935   24316953     23       7  556      0.71473      0.23739
127294       1   24372531   24448665    376      42  556     -0.91846      0.82081
58985        1   24436261   24479783    200      43  556     -0.47984      0.68433
163702       1   24470647   24523765    282      41  556      -0.8394      0.79938
57822        1   24635812   24700972    231      56  556      0.79995      0.21187
90529        1   24673489   24751587    279      27  556      0.27128      0.39309
57185        1   24732245   24809473    321      38  556       -1.645      0.95001
11123        1   24818841   24873510    243      36  556      -0.1242      0.54942
400746       1   24872567   24945819    392      47  556       2.0527     0.020049
10250        1   24959594   25009772     80      22  556     -0.10785      0.54294
25932        1   25061760   25180815    241      39  556     -0.88965      0.81317
864          1   25216002   25301648    341      56  556      0.14568      0.44209
25949        1   25538767   25569013     56       9  556     -0.31575       0.6239
57035        1   25558740   25584010     52       9  556     -0.27965      0.61013
6007         1   25588884   25666936    120      16  556     -0.82812       0.7962
23585        1   25654789   25698852     78      13  556      -0.1346      0.55353
6006         1   25677853   25757363    207      19  556      0.16222      0.43557
55219        1   25747388   25836700    179      10  556      0.39794      0.34534
26119        1   25860071   25905377     73      11  556      0.31255      0.37731
57134        1   25933959   26121258    520      45  556      0.37397      0.35421
57190        1   26116667   26154713    139      16  556      0.10711      0.45735
56181        1   26136397   26169433    110      11  556     -0.13342      0.55307
79000        1   26148414   26195939    145      11  556     -0.12955      0.55154
164091       1   26177975   26212461     93      14  556     0.097833      0.46103
3925         1   26200670   26243368     97      15  556     -0.58795      0.72172
5051         1   26276258   26336366    209      23  556     -0.78823      0.78472
2134         1   26338266   26372955    114      24  556      0.29214      0.38509
7780         1   26354513   26383439    100      18  556      0.55321      0.29006
84676        1   26367792   26404142    148      22  556      0.58744      0.27845
149420       1   26427656   26462039    115       7  556      0.26253      0.39646
79927        1   26475511   26499119     94      22  556       0.2007      0.42047
51042        1   26486388   26507364     81      14  556     0.011399      0.49545
10256        1   26493981   26526375    133      21  556      0.02618      0.48956
378807       1   26507119   26539033    127      28  556      0.45707      0.32381
64793        1   26550644   26615529    253      18  556     -0.26833      0.60578
83442        1   26596213   26618013     93      14  556     -0.29128      0.61458
91544        1   26598773   26654756    226      22  556     -0.20917      0.58284
1043         1   26634411   26657014    100      16  556      0.03807      0.48482
55057        1   26638350   26690621    225      32  556       1.0057      0.15728
257101       1   26678125   26711023    165      26  556       1.0812      0.13981
79727        1   26727269   26766219    122      27  556       1.5112     0.065364
79947        1   26748773   26807797    131      28  556      0.12942      0.44851
3151         1   26788902   26813133     64      16  556      0.31037      0.37814
6195         1   26846249   26911520    196      35  556      0.88946      0.18688
101928728    1   27008623   27032896     45      13  556      0.57843      0.28149
8289         1   27012522   27118601    195      19  556      0.10968      0.45633
55650        1   27103739   27134894     47      16  556    -0.097501      0.53884
84243        1   27143201   27194092     96      17  556     0.080497      0.46792
2810         1   27179633   27200947     46       9  556      0.68353      0.24714
54707        1   27195872   27226869     59      11  556      0.30884      0.37872
63906        1   27206979   27236962     56      13  556      0.45429      0.32481
8431         1   27227975   27250567     56      12  556      0.31432      0.37664
10726        1   27238187   27283362     98      21  556     0.070073      0.47207
126695       1   27266047   27296901     62      12  556      0.30479      0.38026
388610       1   27310189   27337377     59      13  556     -0.89641      0.81498
115572       1   27321511   27349333     64      17  556     -0.69755      0.75727
6548         1   27415300   27491621    134      22  556       2.7115    0.0033485
23038        1   27551007   27645124    196      26  556       1.9368     0.026384
84065        1   27638636   27672891     96      24  556      0.61013      0.27089
84958        1   27658483   27690423    116      28  556       1.4304     0.076301
9064         1   27671670   27703558     97      31  556       1.8155     0.034723
8547         1   27685601   27711315     62      23  556        1.102      0.13522
388611       1   27695596   27719823     50      13  556     -0.59476        0.724
2827         1   27709148   27732318     47      12  556     -0.99735       0.8407
10163        1   27720734   27826678    243      26  556     -0.96075      0.83166
27245        1   27850756   27940463    159      37  556      -1.1432      0.87352
2268         1   27928800   27971727    107      26  556       0.5455      0.29271
2537         1   27982572   28008724     82      24  556     -0.21897      0.58666
199870       1   28042490   28099426    148      13  556     -0.83732      0.79879
23673        1   28089694   28160963    175      23  556      -1.3464      0.91091
5511         1   28147252   28188183     96      20  556      -1.2977      0.90281
9473         1   28189055   28223196    131      26  556      -1.3462      0.91088
6118         1   28208035   28251255    193      21  556      -1.2451      0.89346
27293        1   28251456   28295663    208      28  556      -1.6187      0.94725
55113        1   28276504   28304604    101      31  556      -1.3738      0.91525
2140         1   28286855   28425173    531      37  556      -1.0448      0.85195
5724         1   28463677   28530447    154      42  556     -0.11186      0.54453
22826        1   28516789   28569542    207      22  556      0.82211      0.20551
93974        1   28552602   28574616    100      10  556      0.92548      0.17736
83667        1   28575963   28619002    165      27  556     -0.62218      0.73309
54797        1   28645513   28672478     74      24  556     0.083119      0.46688
65979        1   28686093   28836881    601      15  556     -0.52696      0.70089
1104         1   28822455   28875708    208      26  556      -0.8709       0.8081
54952        1   28869529   28915057    115      27  556     -0.40105      0.65581
115273       1   28908712   28931098     42      19  556      0.50616      0.30637
6883         1   28919608   28985416    152      37  556      0.24386      0.40367
10691        1   28985234   29052115    151      23  556        1.442     0.074651
51441        1   29053133   29106287    136      24  556      0.89429      0.18558
4985         1   29128654   29200208    315      38  556      -0.9378      0.82583
2035         1   29203603   29456558    725      45  556      -1.0886      0.86182
399474       1   29435937   29460421     86      19  556      -1.1642      0.87783
6429         1   29464250   29518637    172      33  556      -0.3695      0.64412
51102        1   29509385   29567460    214      33  556     -0.19661      0.57793
10076        1   29553028   29663325    387      57  556      -1.0172      0.84548
4146         1   31174124   31206432    155      17  556       1.2729      0.10154
7805         1   31195315   31240683    142      38  556      0.50169      0.30794
9672         1   31332313   31391480    237      69  556      0.75104      0.22631
9698         1   31394353   31548838    539      36  556     -0.90804      0.81807
79570        1   31642592   31722734    394      29  556      0.52406      0.30012
9410         1   31722415   31779644    217      21  556       1.4167     0.078283
51538        1   31759832   31848569    287      19  556       1.2256      0.11017
2170         1   31828100   31855923     78      13  556       1.8087     0.035246
347735       1   31872412   31917527    227      28  556       1.1263      0.13002
64129        1   32032086   32063290     88      28  556      0.18244      0.42762
3061         1   32073290   32103214     69       8  556       0.6137      0.26971
553115       1   32085463   32120838     72       9  556      0.63907      0.26139
1307         1   32107848   32179768    227      45  556      0.94003       0.1736
576          1   32182718   32240494    164      18  556       2.2915     0.010967
90853        1   32246023   32291630    153      25  556      0.81643      0.20713
8073         1   32362022   32413988    192      19  556     0.076763      0.46941
10657        1   32469295   32536460     87      37  556      -1.5707      0.94187
55116        1   32528503   32578467    101      21  556      -1.1613      0.87724
23633        1   32563644   32652169    178      27  556       -1.331      0.90841
200081       1   32635293   32673886     75      17  556      -1.5718        0.942
79140        1   32656202   32680991     54      16  556      -1.2944      0.90224
55721        1   32661236   32684288     51      18  556      -1.6413      0.94963
149069       1   32664695   32691797     60      15  556      -1.5783      0.94275
56063        1   32670040   32697954     61      13  556      -1.3507      0.91161
8668         1   32677971   32707205     66      11  556      -1.2858      0.90074
84734        1   32702818   32724461     62      14  556      -1.4906      0.93197
3932         1   32706840   32761766    110      40  556      -2.3785      0.99131
3065         1   32747708   32809227     77      46  556      -3.0102      0.99869
65108        1   32789430   32811840     27      21  556      -2.0309      0.97887
81629        1   32808365   32840098     48      18  556      -1.1718      0.87935
100128071    1   32816871   32837844     30      10  556      -1.1511      0.87515
55108        1   32820704   32870062     82      31  556      -1.5206      0.93582
728116       1   32920658   32963460     82      21  556       -1.655      0.95104
653121       1   32994772   33081542    293      24  556     -0.94339      0.82726
339487       1   33076421   33126565    203      18  556      -0.9105      0.81872
5928         1   33106749   33161812    216      16  556     -0.85389      0.80342
81493        1   33135507   33178361    154      16  556     -0.99322       0.8397
57648        1   33197492   33250571    120      34  556     -0.85982      0.80506
8565         1   33230840   33293633    167      27  556     -0.83214      0.79734
64766        1   33272368   33334480    154      33  556     -0.77118       0.7797
252995       1   33317869   33348093     75      24  556     -0.47892        0.684
3208         1   33341688   33370247     76      27  556      -1.1783      0.88065
113452       1   33350196   33377041     56      17  556      -1.0594      0.85529
127544       1   33392050   33440467    139      26  556       -1.286      0.90077
204          1   33463541   33512512    129      24  556     -0.62707      0.73469
113451       1   33536711   33596132    162      28  556     -0.34301      0.63421
55223        1   33601000   33657671    200      23  556     -0.98116      0.83674
149076       1   33711908   33776321    164      30  556     -0.80818      0.79051
127550       1   33762367   33796699    131      26  556     -0.32401      0.62703
1912         1   33779224   33851194    271      29  556     -0.73183      0.76786
7579         1   33928232   33972105    131      20  556      -0.7645      0.77772
114784       1   33969609   34641443   2561     226  556     -0.12016      0.54782
127540       1   34316076   34340392     80      21  556       1.1541      0.12424
84970        1   34622624   34694732    325      45  556      -1.5072      0.93412
2709         1   35210648   35234113     17      11  556     -0.61093      0.72938
127534       1   35215342   35239325     16      10  556     -0.79806      0.78758
2707         1   35236790   35261967     21       4  556     -0.57223      0.71642
2701         1   35248559   35271351     53      11  556     -0.74329      0.77135
113444       1   35305963   35335417     82      26  556      -2.0008      0.97729
58512        1   35321037   35401083    148      42  556      -1.2912      0.90169
100506144    1   35437127   35460948     63       8  556       -0.509      0.69462
9204         1   35441766   35507569    166      12  556     -0.61352      0.73024
79830        1   35515387   35591460    148      17  556      0.20927      0.41712
6421         1   35631981   35668766    140      15  556      0.34014      0.36688
9202         1   35724444   35897545    336      24  556    -0.022214      0.50886
79932        1   35889091   36033037    258      23  556    0.0014331      0.49943
23154        1   36013311   36042380     52      14  556     0.030702      0.48775
339488       1   36028971   36070929     70      17  556     -0.17259      0.56851
5690         1   36030259   36117445    128      23  556      -0.2186      0.58652
127703       1   36169477   36194790     44      10  556       1.2085      0.11343
63967        1   36175819   36245568    115      16  556      0.96572      0.16709
192670       1   36263231   36333491    113      22  556      0.82596      0.20441
26523        1   36325412   36405211    145      28  556      0.73672      0.23065
192669       1   36386364   36532360    218      29  556      0.77171      0.22014
27285        1   36539676   36563877     59      13  556      0.38993       0.3483
54936        1   36544453   36569533     68      15  556      0.40539       0.3426
1296         1   36550840   36601305    137      25  556      0.53324      0.29693
27095        1   36592170   36631654    110      17  556       1.1194      0.13149
55700        1   36611751   36656450    130      19  556      0.70984       0.2389
9967         1   36680017   36780958    159      17  556     -0.59928      0.72551
79729        1   36761889   36803544     75      15  556     -0.98474      0.83762
55194        1   36777631   36800567     43      13  556      -1.3722        0.915
83931        1   36795225   36861525    132      24  556      -1.2261      0.88992
